"Attribute Name","Numeric Values","From Range","Disabled","Increment","To Range","ID (Item Attribute Values)","Abbreviation (Item Attribute Values)","Attribute Value (Item Attribute Values)"
"","","","","","","qb877v1u9v","French","CAS LR CIE Grade 7 French 2nd Lan"
"CAS LR CIE Grade 6 Language Selection",0,0.0,0,0.0,0.0,"pv9gia1hjd","Hindi","CAS LR CIE Grade 6 Hindi 2nd Lan"
"","","","","","","pv9911hs9i","French","CAS LR CIE Grade 6 French 2nd Lan"
"CAS LR CIE Grade 5 Language Selection",0,0.0,0,0.0,0.0,"oj7mp7d9ns","Hindi","CAS LR CIE Grade 5 Hindi 2nd Lan"
"","","","","","","oj7dcn3ieh","French","CAS LR CIE Grade 5 French 2nd Lan"
"CAS NIBM CBSE Grade 8 Language Selection",0,0.0,0,0.0,0.0,"tj723c3hds","Hindi","CAS NIBM CBSE Grade 8 Hindi 2nd Lan"
"","","","","","","tj7ptu90oi","French","CAS NIBM CBSE Grade 8 French 2nd Lan"
"CAS LR CBSE Grade 8 Language Selection",0,0.0,0,0.0,0.0,"t33muo29r3","Hindi","CAS LR CBSE Grade 8 Hindi 2nd Lan"
"","","","","","","t332k2fbar","French","CAS LR CBSE Grade 8 French 2nd Lan"
"CAS NIBM CBSE Grade 7 Language Selection",0,0.0,0,0.0,0.0,"slpvd4fasi","Hindi","CAS NIBM CBSE Grade 7 Hindi 2nd Lan"
"","","","","","","slpkn92kq3","French","CAS NIBM CBSE Grade 7 French 2nd Lan"
"CAS LR CBSE Grade 7 Language Selection",0,0.0,0,0.0,0.0,"s75bgjpp0p","Hindi","CAS LR CBSE Grade 7 Hindi 2nd Lan"
"","","","","","","s75u0ir78p","French","CAS LR CBSE Grade 7 French 2nd Lan"
"CAS NIBM CBSE Grade 6 Language Selection",0,0.0,0,0.0,0.0,"rp2cpaknad","Hindi","CAS NIBM CBSE Grade 6 Hindi 2nd Lan"
"","","","","","","rp2af7cbpg","French","CAS NIBM CBSE Grade 6 French 2nd Lan"
"CAS NIBM CBSE Grade 5 Language Selection",0,0.0,0,0.0,0.0,"rcat6i276f","Hindi","CAS NIBM CBSE Grade 5 Hindi 2nd Lan"
"CAS LR CBSE Grade 6 Language Selection",0,0.0,0,0.0,0.0,"qo9lm8hncd","Hindi","CAS LR CBSE Grade 6 Hindi 2nd Lan"
"","","","","","","qo9kqjssds","French","CAS LR CBSE Grade 6 French 2nd Lan"
"CAS LR CBSE Grade 5 Language Selection",0,0.0,0,0.0,0.0,"8o9kgpkrkd","Hindi","CAS LR CBSE Grade 5 Hindi 2nd Lan"
"","","","","","","8o9b8dqnsp","French","CAS LR CBSE Grade 5 French 2nd Lan"
"SAS BP UNIFORM COLOURS",0,0.0,0,0.0,0.0,"ks8g2jjo0r","BL","Sapphire knights - BLUE"
"","","","","","","ks8niau7ab","YL","Topaz Vikings- YELLOW"
"","","","","","","ks86iru1tm","RE","Ruby Spartans - RED"
"","","","","","","ks8b7bu6iq","GR","Emarald Gladiators- Green"
"Bloomers Sizes",0,0.0,0,0.0,0.0,"bd8n0upc6r","55$$","55"
"","","","","","","bd8nqfqbbv","65$$","65"
"","","","","","","bd8mq17cmo","75$$","75"
"","","","","","","bd8abb7hte","80$$","80"
"","","","","","","bd8bt0v76k","85$$","85"
"","","","","","","bd8ks31qkq","90$$","90"
"","","","","","","bd8k26srdv","95$$","95"
"","","","","","","bd8d1ugmbb","100$","100"
"","","","","","","bd8t3o8uto","110$","110"
"","","","","","","8t5u08s3vs","60$$","60"
"","","","","","","9hv9cqe5pm","70$$","70"
"LANGUAGE SELECTION",0,0.0,0,0.0,0.0,"jpf32goo1n","TELU","TELUGU 2ND LAN"
"","","","","","","jpfju70ug4","HIND","HINDI 2ND LAN TELUGU 3RD LAN"
"WM JK SHOE SIZE",0,0.0,0,0.0,0.0,"bulk31lama","11S$","11S"
"","","","","","","bul7ea145k","4UK$","4UK"
"","","","","","","bulne25mce","5UK$","5UK"
"","","","","","","bulu6ng950","6UK$","6UK"
"","","","","","","bul7fjsqto","8UK$","8UK"
"","","","","","","bulhmmsugv","9UK$","9UK"
"","","","","","","bulr0lhbtj","10UK$","10UK"
"","","","","","","1id14liimh","1UK$","1UK"
"","","","","","","1idtmqg7ub","2UK$","2UK"
"","","","","","","1idehi9cqf","3UK$","3UK"
"","","","","","","1idddjnuv0","7UK$","7UK"
"","","","","","","1ids0os7oe","11UK$","11UK"
"WM WF SHOE SIZE",0,0.0,0,0.0,0.0,"29nd6l8rbr","11S$","11 S"
"","","","","","","29ni6j1eau","4UK$","4 UK"
"","","","","","","29nqog7524","5UK$","5 UK"
"","","","","","","29nc4t90f6","6UK$","6 UK"
"","","","","","","29nfr0va86","8UK$","8 UK"
"","","","","","","29nfmngg5d","9UK$","9 UK"
"","","","","","","29np64stat","10UK$","10 UK"
"WM Skirt Sizes",0,0.0,0,0.0,0.0,"kv9f2visgk","20-12","20-12"
"","","","","","","kv9rnod38t","22-14","22-14"
"","","","","","","kv9qhb5qa3","24-14","24-14"
"","","","","","","kv9rtkf0mm","24-16","24-16"
"","","","","","","kv9esb9bgh","24-18","24-18"
"","","","","","","kv98mihpkp","26-16","26-16"
"","","","","","","kv9kmhaoi9","26-18","26-18"
"","","","","","","kv9qbmv8jj","26-20","26-20"
"","","","","","","kv9vk25b22","26-22","26-22"
"","","","","","","kv9uk3qka8","28-14","28-14"
"","","","","","","kv9ea0ssqc","28-16","28-16"
"","","","","","","kv9ac0utv1","28-18","28-18"
"","","","","","","kv9s31h48p","28-20","28-20"
"","","","","","","kv938to8ce","28-22","28-22"
"","","","","","","kv95h80lst","30-16","30-16"
"","","","","","","kv9me7c07e","30-18","30-18"
"","","","","","","kv9629jg8c","30-20","30-20"
"","","","","","","kv98d3gfq9","30-22","30-22"
"","","","","","","kv90rbl07m","30-24","30-24"
"","","","","","","kv92it88cn","30-26","30-26"
"","","","","","","kv9jbgah3r","32-18","32-18"
"","","","","","","kv971h7jr5","32-20","32-20"
"","","","","","","kv9u7oc8oo","32-22","32-22"
"","","","","","","kv9n16tp6j","32-24","32-24"
"","","","","","","kv93jsbvf0","32-26","32-26"
"","","","","","","kv9t1pqgif","34-16","34-16"
"","","","","","","kv9mga628e","34-18","34-18"
"","","","","","","kv9khhcu83","34-20","34-20"
"","","","","","","kv9dk3c8gr","34-22","34-22"
"","","","","","","kv9avoj1ku","34-24","34-24"
"","","","","","","kv9dpebmbg","34-26","34-26"
"","","","","","","kv9tsj7ivu","36-20","36-20"
"","","","","","","kv9mi8dchr","36-22","36-22"
"","","","","","","kv94vufsbn","36-24","36-24"
"","","","","","","kv9q3gktkj","36-26","36-26"
"Track Shorts Sizes",0,0.0,0,0.0,0.0,"3kd1npqmfo","16$$","16"
"","","","","","","3kdij7nqm1","18$$","18"
"","","","","","","3kd4d9121q","20$$","20"
"","","","","","","3kd6jd4jo4","22$$","22"
"","","","","","","3kdol0tr2j","24$$","24"
"","","","","","","3kd677f2fn","26$$","26"
"","","","","","","3kdu2q8kpa","28$$","28"
"","","","","","","3kd7j9lufe","30$$","30"
"","","","","","","3kdam9m65c","32$$","32"
"","","","","","","3kdpeobajp","34$$","34"
"","","","","","","3kdjagum4h","36$$","36"
"","","","","","","3kd8f1dl8r","38$$","38"
"","","","","","","3kdovrhjdh","40$$","40"
"","","","","","","3kddpvimgc","42$$","42"
"","","","","","","3kdqik15c1","44$$","44"
"","","","","","","3kdqnep6hm","46$$","46"
"","","","","","","1mijdcs9n7","14$$","14"
"Tie Sizes",0,0.0,0,0.0,0.0,"ubhehhdvli","12$$","12"
"","","","","","","ubhfndlg4b","14$$","14"
"","","","","","","ubh454t6v6","16$$","16"
"","","","","","","ubhu2mb6hu","18$$","18"
"","","","","","","ubh63omus6","20$$","20"
"Blazer Sizes",0,0.0,0,0.0,0.0,"dikh46dvre","22$$","22"
"","","","","","","diku3nsths","24$$","24"
"","","","","","","dik0kk10t7","26$$","26"
"","","","","","","dik8r14ddk","28$$","28"
"","","","","","","dik4u3jfat","30$$","30"
"","","","","","","dik4ti2jhi","32$$","32"
"","","","","","","dikdsisd29","34$$","34"
"","","","","","","dik8pkgs6m","36$$","36"
"","","","","","","diksdtctpl","38$$","38"
"","","","","","","dikjkglubo","40$$","40"
"","","","","","","dik4ocqr1b","42$$","42"
"","","","","","","dik5pou0qh","44$$","44"
"","","","","","","dikfmpcema","46$$","46"
"","","","","","","diksdiovhf","50$$","50"
"QLS Sports Color",0,0.0,0,0.0,0.0,"p9fbtksb29","A","Alpha (Red)"
"","","","","","","p9fah04qad","B","Beta (Blue)"
"","","","","","","p9fee558ip","C","Delta (Green)"
"","","","","","","p9fc055jcp","D","Gamma (Yellow)"
"Uniform Colors",0,0.0,0,0.0,0.0,"1g5lrmb63n","N","Teal"
"","","","","","","1g5eb5quo1","D","Yellow"
"","","","","","","1g57ej6r11","J","White"
"","","","","","","1g5tu7hl5i","M","Navy"
"","","","","","","1g596f0992","K","Grey"
"","","","","","","1g5i0eldk2","B","BLUE"
"","","","","","","mergjjkumf","L","Maroon"
"","","","","","","nrkidptug5","F","Purple"
"","","","","","","ora3ei4rbo","A","Red"
"","","","","","","orafvcll66","C","Green"
"","","","","","","62e4i61g18","I","Black"
"","","","","","","jeiiletomi","E","Orange"
"","","","","","","jeic49n1c9","G","Pink"
"","","","","","","jei64tkj0f","H","Brown"
"","","","","","","jeiood1orr","Q","Beige"
"","","","","","","jeiit16bk7","R","Turquoise"
"","","","","","","jei32i0fm3","V","Off White"
"","","","","","","jeijmvqibs","W","Mint"
"Shoes Color",0,0.0,0,0.0,0.0,"jb20qfksjb","I","Black"
"","","","","","","jb21pnstcd","J","White"
"WM JK Grade 10 Magic Box Books",0,0.0,0,0.0,0.0,"0s65shlc8c","WMJK G10 FRE","Winmore Jakkur Grade 10 French 2nd lang-Kannada 3rd lang"
"","","","","","","0s6s2o3837","WMJK G10 KANN","Winmore Jakkur Grade 10 Kannada 2nd lang-Hindi 3rd lang"
"","","","","","","0s62iq64g4","WMJK G10 HIN","Winmore Jakkur Grade 10 Hindi 2nd lang-Kannada 3rd lang"
"Belt Color",0,0.0,0,0.0,0.0,"mhpdh8se24","I","Black"
"","","","","","","mhpciharm0","M","Navy"
"","","","","","","mhp0p0kn7c","L","Maroon"
"","","","","","","mhpdg892bt","C","Green"
"Bag Color",0,0.0,0,0.0,0.0,"gq1bper7r1","A","Red"
"","","","","","","gq1srud4up","M","Navy"
"","","","","","","m44l14ahlc","U","Unicharm"
"","","","","","","m44csj7ijo","S","Seacharm"
"","","","","","","m44dlmgvd8","D","Dinocharm"
"","","","","","","m44v7rrsbs","G","Gamecharm"
"","","","","","","ttiiedtv6e","T","Dreamy Unicorn Turquoise"
"","","","","","","ttisi7sku3","Y","Dreamy UnicornYellow"
"","","","","","","ttiulr25pu","N","Dreamy Unicorn Navy blue "
"","","","","","","ttih8thc0i","B","Dreamy Unicorn Black"
"","","","","","","v41k4ekjss","P","Pink Paradise Purple"
"","","","","","","v41n29d69u","YE","Pink Paradise Yellow "
"","","","","","","v4136cskh4","NB","Pink Paradise Navy Blue"
"","","","","","","2ok2shsq51","SANB","Space Adventure Navy Blue "
"","","","","","","2ok1veqlou","SASB","Space Adventure Skyblue "
"","","","","","","2ok6jkqvoi","SBM","Space Adventure Megenta "
"","","","","","","2ok4l2dosg","SAB","Space Adventure Black"
"","","","","","","2oku5h01o3","RRNB","Racing Rex Navy Blue "
"","","","","","","2okt0rhkte","RRG","Racing Rex Green "
"","","","","","","2okhro86gh","RRSB"," Racing Rex Skyblue "
"","","","","","","2okbp955h8","RRB","Racing Rex Black"
"","","","","","","4qv9g2atq0","GT","GlobeTech"
"","","","","","","4qvtppfsn4","CN","Cosmic Navigator"
"","","","","","","4qv7b8jrjt","CC","Crimson Classic"
"","","","","","","4qv99f70pn","RM","RockMode"
"","","","","","","4qvnb7k964","TC","ThunderCharge"
"","","","","","","4qvios9bep","CP","Crimson Prestige"
"Hoodie Sizes",0,0.0,0,0.0,0.0,"b5car397rr","22$$","22"
"","","","","","","b5cuuhgihn","24$$","24"
"","","","","","","b5cj8ckipp","26$$","26"
"","","","","","","b5cbs3duo2","28$$","28"
"","","","","","","b5cmmut1ho","30$$","30"
"","","","","","","b5cb4c2nbu","32$$","32"
"","","","","","","b5cv685ac3","34$$","34"
"","","","","","","b5c0mi2f78","36$$","36"
"","","","","","","b5cfpb3vgu","38$$","38"
"","","","","","","b5c101581h","40$$","40"
"","","","","","","b5co06jk1o","42$$","42"
"","","","","","","b5c0s7ujlm","44$$","44"
"","","","","","","b5c3g4rmlo","46$$","46"
"","","","","","","b5cqiqfm70","48$$","48"
"","","","","","","b5ckte3tlg","50$$","50"
"","","","","","","b5c7qrta3o","52$$","52"
"","","","","","","b5csh6r6vo","54$$","54"
"","","","","","","b5c5lnu69l","56$$","56"
"","","","","","","b5cceue23t","58$$","58"
"","","","","","","b5cu97qcep","20$$","20"
"Hoodie Color",0,0.0,0,0.0,0.0,"8k5ssdqj0l","M","Navy"
"","","","","","","8k5p61gf17","L","Maroon"
"Caps Sizes",0,0.0,0,0.0,0.0,"3f73t2h3f9","1$$$","1"
"","","","","","","3f7ipn2ks7","2$$$","2"
"","","","","","","3f77bd0dfs","3$$$","3"
"","","","","","","3f7mgqrd5j","4$$$","4"
"Caps Color",0,0.0,0,0.0,0.0,"2cq3lp5r6j","M","Navy"
"","","","","","","2cqskeboum","A","Red"
"","","","","","","2cqtqq67mt","C","Green"
"","","","","","","2cq4keiba1","K","Grey"
"Regular Socks Color",0,0.0,0,0.0,0.0,"49g2biqisc","M","Navy"
"","","","","","","49grnhj3s0","J","White"
"","","","","","","49g7ulp5or","K","Grey"
"","","","","","","49g4ngfjvf","C","Green"
"","","","","","","49g9v42eb1","I","Black"
"Sports Socks Color",0,0.0,0,0.0,0.0,"0geiua8log","A","Red"
"","","","","","","0gek2vfeao","B","Blue"
"","","","","","","0ge64qgqr9","C","Green"
"","","","","","","0ge7b7fj5g","D","Yellow"
"Sports Track Color",0,0.0,0,0.0,0.0,"eii3kp9k07","A","Red"
"","","","","","","eiihnokmrp","B","Blue"
"","","","","","","eiits4jvvf","C","Green"
"","","","","","","eii7ilnl8a","D","Yellow"
"","","","","","","eiicaaoif5","M","Navy"
"","","","","","","eiilhpr3n2","I","Black"
"WM JK Pants Color",0,0.0,0,0.0,0.0,"uvpvbthd7d","M","Navy"
"Maroon Polo Color",0,0.0,0,0.0,0.0,"na8bb53ehj","L","Maroon"
"Sports Color",0,0.0,0,0.0,0.0,"24t6ft4v43","A","Red"
"","","","","","","24tmh4t930","B","Blue"
"","","","","","","24tgt41989","C","Green"
"","","","","","","24tov13s0h","D","Yellow"
"SMS Maroon T-Shirt Color",0,0.0,0,0.0,0.0,"jkv27mkfsi","L","Maroon"
"SMS 9-10 Skirt Color",0,0.0,0,0.0,0.0,"elsqh2ht7u","M","Navy"
"SMS 9-10 Skirt Sizes",0,0.0,0,0.0,0.0,"d55nr422on","30$$","30"
"","","","","","","d55npsi6nm","32$$","32"
"","","","","","","d55je9pqsi","34$$","34"
"","","","","","","d55kelmid4","36$$","36"
"","","","","","","d55mdevv0s","38$$","38"
"","","","","","","d557fibeji","40$$","40"
"","","","","","","d55uv6o2bo","42$$","42"
"","","","","","","d55ai4gbb4","44$$","44"
"","","","","","","d5558jimg1","46$$","46"
"SMS 9-10 Shirt Color",0,0.0,0,0.0,0.0,"1hmm3ulr1u","V","Off White"
"SMS Full Pant Color",0,0.0,0,0.0,0.0,"pukbqc2pgo","M","Navy"
"SMS Pri Skort Color",0,0.0,0,0.0,0.0,"qc6ku9hu6q","M","Navy"
"SMS Mint T-shirt Color",0,0.0,0,0.0,0.0,"v2dm4r2i2c","W","Mint"
"SMS PP Shirt color",0,0.0,0,0.0,0.0,"69f5p3ub7b","J","White "
"SMS PP HP COLOR",0,0.0,0,0.0,0.0,"5bp31en5fg","A","RED"
"Frock Sizes",0,0.0,0,0.0,0.0,"5os1grjeeb","18$$","18"
"","","","","","","5osmvhjdac","20$$","20"
"","","","","","","5oseriphi6","22$$","22"
"","","","","","","5osefa40vk","24$$","24"
"","","","","","","5oskmq5dmb","26$$","26"
"","","","","","","5osds0patd","28$$","28"
"","","","","","","5osnip6ccg","30$$","30"
"","","","","","","5os5c0noh1","32$$","32"
"","","","","","","5os03a6gcv","34$$","34"
"","","","","","","5osvp73pe3","36$$","36"
"","","","","","","5osocadjk7","38$$","38"
"","","","","","","5osjk86ev7","40$$","40"
"","","","","","","5osappso1k","42$$","42"
"","","","","","","5osahp6arc","44$$","44"
"","","","","","","5osvbfopfp","46$$","46"
"","","","","","","5os5ssfemu","48$$","48"
"SMS PP FROCK",0,0.0,0,0.0,0.0,"chd6tu0143","J","White"
"BOOKMARK STYLES",0,0.0,0,0.0,0.0,"8voff41lpb","Good vibes","Good vibes"
"","","","","","","8vohru88pc","Keep Reading ","Keep Reading "
"WATER BOTTLE MODELS",0,0.0,0,0.0,0.0,"76dfbu097c","Deer horns Gold","Deer horns Gold"
"","","","","","","76d7cd8smf","Deer horns Dark Blue","Deer horns Dark Blue"
"","","","","","","76d48cclog","Deer horns Dark Green","Deer horns Dark Green"
"","","","","","","76dc1tqlvm","Deer horns Light Blue","Deer horns Light Blue"
"","","","","","","76d54qff4i","Deer horns Light Green","Deer horns Light Green"
"","","","","","","76dhgnsffo","Deer horns White","Deer horns White"
"","","","","","","76duhua1ua","Smart Vaccum Green and pink","Smart Vaccum Green and pink"
"","","","","","","76dr82c7pi","Smart Vaccum Blue and Pink","Smart Vaccum Blue and Pink"
"","","","","","","76dq7robiu","Urban Matt staniless steel Dark blue ","Urban Matt staniless steel Dark blue "
"","","","","","","76dijb2cdn","Urban Matt staniless steel Grey","Urban Matt staniless steel Grey"
"","","","","","","76d66anv83","Urban Matt staniless steel White","Urban Matt staniless steel White"
"","","","","","","76d0lv8740","Urban Matt staniless steel Purple","Urban Matt staniless steel Purple"
"","","","","","","76dago7i5t","Urban Matt staniless steel Dark Pink","Urban Matt staniless steel Dark Pink"
"","","","","","","76d1ikcqtr","Urban Matt staniless steel Light Pink","Urban Matt staniless steel Light Pink"
"","","","","","","76do7j9g0v","Cloud stiper Pink ","Cloud stiper Pink "
"","","","","","","76dgk4sbv0","Cloud stiper Purple","Cloud stiper Purple"
"","","","","","","76d4ua3uov","Cloud stiper Brown","Cloud stiper Brown"
"","","","","","","76dll7em3d","Cloud stiper Green","Cloud stiper Green"
"","","","","","","76ds7m4mmo","Dual Sippers Dino","Dual Sippers Dino"
"","","","","","","76dfqv25tj","Dual Sippers Bunny","Dual Sippers Bunny"
"","","","","","","76d6hj28tj","Dual Sippers Unicorn","Dual Sippers Unicorn"
"","","","","","","76dps6rueb","Dual Sippers Bear","Dual Sippers Bear"
"CRIMSON BAG DESIGN",0,0.0,0,0.0,0.0,"187d3kg44d","Space adventure (Black)","Space adventure (Black) M"
"","","","","","","187b5280uv","Space adventure(Blue) M","Space adventure(Blue) M"
"","","","","","","1871etcshm","Space adventure(Megenta) M","Space adventure(Megenta) M"
"","","","","","","187n7ackdt","Dreamy unicorn (Black) M","Dreamy unicorn (Black) M"
"","","","","","","187d08hpht","Pink paradise (Navy blue ) M","Pink paradise (Navy blue ) M"
"","","","","","","187i8ssapp","Space adventure (Sky blue ) M","Space adventure (Sky blue ) M"
"","","","","","","187o7vllq5","Dreamy unicorn (turqoise) M","Dreamy unicorn (turqoise) M"
"","","","","","","1876a3vqev","Pink paradise (Black ) M","Pink paradise (Black ) M"
"","","","","","","1874rbr9p3","Unicharm S","Unicharm S"
"","","","","","","187g556psf","Sea charm S","Sea charm S"
"","","","","","","187ao5j6na","DinoCharm S","DinoCharm S"
"","","","","","","187vp1hv3t","Cosmic Navigator L","Cosmic Navigator L"
"INVENTRE BAG DESIGN",0,0.0,0,0.0,0.0,"s5t050vtot","GLOBE TECH L","GLOBE TECH L"
"","","","","","","s5tmjaepd0","COSMIC NAVIGATOR L","COSMIC NAVIGATOR L"
"","","","","","","s5tb4vpr9f","INVENTRE CLASSIC L","INVENTRE CLASSIC L"
"","","","","","","s5t3v8qil2","ROCK MODE L","ROCK MODE L"
"","","","","","","s5tqok8qum","THUNDER CHARGE L","THUNDER CHARGE L"
"","","","","","","s5tk2372ro","INVENTRE PRESTIGE L","INVENTRE PRESTIGE L"
"","","","","","","s5t0cpcn3d","RACING REX NAVY M","RACING REX NAVY M"
"","","","","","","s5t9oob45l","RACING REX BLACK M","RACING REX BLACK M"
"","","","","","","s5tc2fh1j3","RACING REX GREEN M","RACING REX GREEN M"
"","","","","","","s5t6lk7hmi","PINK PARADISE PURPLE M","PINK PARADISE PURPLE M"
"","","","","","","s5t77o747e","PINK PARADISE YELLOW M","PINK PARADISE YELLOW M"
"","","","","","","s5tqtvt77v","DREAMY UNICORN YELLOW M","DREAMY UNICORN YELLOW M"
"","","","","","","s5tl58j44k","DREAMY UNICORN NAVY BLUE M","DREAMY UNICORN NAVY BLUE M"
"","","","","","","s5tm0afaq8","UNICHARM S","UNICHARM S"
"","","","","","","s5t7kr98a8","SEA CHARM S","SEA CHARM S"
"","","","","","","s5tk74v570","GAME CHARM S","GAME CHARM S"
"","","","","","","s5t310bhsm","DINO CHARM S","DINO CHARM S"
"SMS PRI HP COLOR",0,0.0,0,0.0,0.0,"s5p6hrsv9t","M","Navy"
"SAS SHOES SIZE",0,0.0,0,0.0,0.0,"b6vtg51n05","UK 1","UK 1"
"","","","","","","b6vc350q2v","UK 3","UK 3"
"","","","","","","b6vn72q8im","UK 4","UK 4"
"","","","","","","b6vau7429m","UK 5","UK 5"
"","","","","","","b6vv63egdq","UK 8S","UK 8S"
"","","","","","","b6vb3p3dkh","UK 13S","UK 13S"
"","","","","","","b6v0j9andh","9 S","9 S"
"","","","","","","b6vegrmmn5","11 S","11 S"
"","","","","","","b6vjsvl8id","7 UK","7 UK"
"CRIMSON STRIPS",0,0.0,0,0.0,0.0,"9fo45ko8f3","1 UK","1 UK"
"","","","","","","9fog4v7n6d","2 UK","2 UK"
"","","","","","","9fonfkdtn4","3 UK","3 UK"
"","","","","","","9fo3chdgkt","4 UK","4 UK"
"","","","","","","9fo60aoblj","6 UK","6 UK"
"","","","","","","9fo68li0ng","7 UK","7 UK"
"","","","","","","9fo9ivj4oc","6 S","6 S"
"","","","","","","9fo6vlgdbv","7 S","7 S"
"","","","","","","9foa1v9tsm","8 S","8 S"
"","","","","","","9fo0g00tjo","9 S","9 S"
"","","","","","","9fo10d5565","10 S","10 S"
"","","","","","","9fo9298crm","11 S","11 S"
"","","","","","","9fo5ssukk5","12 S","12 S"
"","","","","","","9foj9fq6jq","13 S","13 S"
"WINMORE SHOES SIZE",0,0.0,0,0.0,0.0,"6okql181ap","UK 4","UK 4"
"","","","","","","6okb7boco6","UK 5","UK 5"
"","","","","","","6okdq1548h","UK 6","UK 6"
"","","","","","","6okgege4i1","UK 7","UK 7"
"","","","","","","6okhl5q6ge","UK 8","UK 8"
"","","","","","","6okh7dfv65","UK 9","UK 9"
"","","","","","","6oktlt4n1l","UK 10","UK 10"
"NIVIA SHOES SIZE",0,0.0,0,0.0,0.0,"2c03pp4dj8","UK 1","UK 1"
"","","","","","","2c00l3e433","UK 2","UK 2"
"","","","","","","2c0u9p25cv","UK 3","UK 3"
"","","","","","","2c0qe3gujg","UK 4","UK 4"
"","","","","","","2c0kcp89ed","UK 5","UK 5"
"","","","","","","2c0aj480c9","UK 6","UK 6"
"","","","","","","2c0rr30uct","UK 7","UK 7"
"","","","","","","2c0k7asc78","UK 8","UK 8"
"","","","","","","2c0n19v7m5","UK 9","UK 9"
"","","","","","","2c02m7u3nh","UK 10","UK 10"
"","","","","","","2c06hlu69p","UK 11","UK 11"
"","","","","","","2c0gkrmfhi","UK 12","UK 12"
"","","","","","","2c0k7kbcum","UK 13","UK 13"
"BATA SHOE SIZE",0,0.0,0,0.0,0.0,"ricgse0b2a","UK 1","UK 1"
"","","","","","","rictrnmlp7","UK 2","UK 2`"
"","","","","","","ricki77b5g","UK 3","UK 3"
"","","","","","","ric5kv6q0h","UK 4","UK 4"
"","","","","","","ric35958cr","UK 5","UK 5"
"","","","","","","ricv11qf97","UK 6","UK 6"
"","","","","","","ricbbe7a9f","UK 7","UK 7"
"","","","","","","rics74mb5d","UK 8","UK 8"
"","","","","","","ricdp3qv26","UK 9","UK 9"
"","","","","","","ricj4ack74","UK 10","UK 10 "
"","","","","","","ricmplu5tt","UK 11","UK 11"
"","","","","","","ricp0qd091","UK 12","UK 12"
"SMS Grade 12 Extra Subject",0,0.0,0,0.0,0.0,"ar4qnu8mnn","Computer Science","SMS Grade 12 Computer Science"
"","","","","","","ar4sjlo1sv","Entrepreneurship","SMS Grade 12 Entrepreneurship"
"","","","","","","ar4cana6he","Physical Education","SMS Grade 12 Physical Education"
"","","","","","","ar47oissq2","Mathematics","SMS Grade 12 Mathematics"
"","","","","","","ar4spog0jq","Psychology","SMS Grade 12 Psychology"
"SMS Grade 12 Mandate",0,0.0,0,0.0,0.0,"9sh1slt4ct","Mandate","SMS Grade 12 Mandate"
"SMS Grade 12 Core Subjects",0,0.0,0,0.0,0.0,"9hf5tnrl2f","Mathematics Physics Chemistry","SMS Grade 12 Mathematics Physics Chemistry"
"","","","","","","9hf9mufp8t","Biology Physics Chemistry","SMS Grade 12 Biology Physics Chemistry"
"","","","","","","9hf1e0k316","Commerce","SMS Grade 12 Commerce"
"","","","","","","9hff731iqi","Humanities & Economics","SMS Grade 12 Humanities & Economics"
"","","","","","","9hfoljob7r","Humanities & Entrepreneurship","SMS Grade 12 Humanities & Entrepreneurship"
"","","","","","","9hf9qboupa","Humanities & Physical Education","SMS Grade 12 Humanities & Physical Education"
"SAS Keesara Grade 12 Extra Subjects",0,0.0,0,0.0,0.0,"nq20pmivba","Grade 12 Physical Education","SASKS Grade 12 Physical Education"
"","","","","","","nq2s7ert8n","Grade 12 Entrepreneurship","SASKS Grade 12 Entrepreneurship"
"","","","","","","nq2iitirr9","Grade 12 BioTechnology","SASKS Grade 12 BioTechnology"
"","","","","","","nq219kus5u","Grade 12 Applied Mathematics","SASKS Grade 12 Applied Mathematics"
"","","","","","","nq24oeelo2","Grade 12 Informatics Practices","SASKS Grade 12 Informatics Practices"
"","","","","","","nq2fcamino","Grade 12 Computer Science","SASKS Grade 12 Computer Science"
"","","","","","","6hf91u9t3s","Grade 12 Psychology","SAS KS Grade 12 Psychology"
"","","","","","","6hf09a3q2l","Grade 12 Economics","SAS KS Grade 12 Economics"
"","","","","","","2pt7nseor9","Grade 12 Biology","SAS KS Grade 12 Biology"
"SAS Keesara Grade 12 Core Subjects",0,0.0,0,0.0,0.0,"n5nutvtng4","Grade 12 PCM","SASKS Grade 12 PCM"
"","","","","","","n5nbog87em","Grade 12 PCB","SASKS Grade 12 PCB"
"","","","","","","n5n6kd64se","Grade 12 Commerce","SASKS Grade 12 Commerce"
"SAS Keesara Grade 12 Mandate",0,0.0,0,0.0,0.0,"fbgpu4r0b0","Mandate","SASKS Grade 12 Book Set Mandate"
"SAS Suchitra Grade 12 Extra Subjects",0,0.0,0,0.0,0.0,"elo8s9k7fm","Computer Science","SASSC Grade 12 Computer Science"
"","","","","","","eloi7ns5h7","Informatics Practices","SASSC Grade 12 Informatics Practices"
"","","","","","","elou7vt20h","Applied Mathematics","SASSC Grade 12 Applied Mathematics"
"","","","","","","elo0aojsj7","Physical Education","SASSC Grade 12 Physical Education"
"","","","","","","elo69ic69a","Entrepreneurship","SASSC Grade 12 Entrepreneurship"
"","","","","","","eloi6l3llk","Psychology","SASSC Grade 12 Psychology"
"","","","","","","elo4cdcfm0","BioTechnology","SASSC Grade 12 BioTechnology"
